, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
121, 19858.64769479009, 20301.653232421642, 15620.102817919611, 25077.740862853752, 43286.2742890996, 24989.67998029557, 84285.03688620932,
122, 21567.490567601526, 20445.42961448279, 15253.826810647864, 25252.49214746016, 41191.63421718438, 25120.24952493082, 83494.62056577057,
123, 22132.922597587174, 20453.41362461414, 14860.864723661778, 25414.55363721017, 42654.036323004446, 26285.608744179906, 84704.27254174397,
124, 23639.459510456323, 20376.85518843415, 15249.53172325141, 24702.05490476957, 43691.93213251121, 25324.066001780517, 84146.20693319438,
125, 21321.33929559836, 20552.9634310208, 15251.551279776151, 25207.893013777713, 47998.040836454, 25058.539038581905, 84406.83235494692,
126, 22008.1275603142, 20389.27841843981, 15775.16952937918, 24969.623937633987, 47386.33890493615, 25202.34320446785, 85050.57022896617,
127, 23734.338371810212, 19960.43945733433, 15653.314363080499, 25210.05288424872, 44801.901836970224, 25435.281354656694, 86013.68893025217,
128, 21535.57220543623, 20696.468536239987, 15391.520913186492, 25130.612079630457, 46037.07602607243, 24532.1412954887, 86508.69390965492,
129, 21654.05800065878, 20749.924993599725, 15486.7523568022, 24872.39039794371, 46122.35792472873, 25049.738656529305, 86177.4045205545,
130, 23150.957148340443, 20505.708239556996, 15429.465610512361, 25100.165759869316, 47940.36244095837, 25357.127934443717, 84752.14055786087,
131, 24145.897811524606, 20568.463424008623, 15744.239890273253, 25388.822543283495, 48802.85491436297, 25239.835312754556, 87307.92277660714,
132, 22404.05750996856, 20037.244742364728, 15457.699818432211, 25973.665224414184, 49756.38911692165, 25159.386638448028, 85659.1064782543,
133, 24126.326376292087, 20131.80302379558, 15561.361224701765, 25634.4624058361, 50035.50389825433, 25985.035586135782, 84785.92284991326,
134, 22340.027698274476, 20042.372807248397, 15496.550307958527, 24936.589293657835, 50697.64147804779, 25166.670845236, 86822.09774388518,
135, 23925.982508432557, 19681.023481494838, 15935.906938772136, 25689.158416179267, 49562.13827840847, 24993.782961145716, 86400.43891157457,
136, 26574.48229848967, 20513.84275845341, 15902.180064944885, 25423.730704267957, 50739.87525326526, 25105.83315024397, 87365.94466272392,
137, 25630.474121010597, 20400.704460474437, 15628.252076827364, 25700.11819487675, 52247.53558574529, 25440.36192889395, 87055.89874787375,
138, 23504.710913562172, 20330.977007083104, 15315.417600475645, 25645.456591945866, 50710.77971274383, 25910.269165158206, 86593.90941388393,
